"Type","Name","No_Selected","Summary","Description"
"CAT","ABO_DON",1,"A,AB,B,O,UNKNOWN","DONOR BLOOD TYPE"
"NUM","AGE",2,"18,46,55,52.1604442881668,61,79","RECIPIENT AGE (YRS)"
"NUM","AGE_DON",11,"6,21,29,31.2404492522804,41,73","DONOR AGE (YRS)"
"CAT","AMIS",6,"NO_MISMATCH,ONE_MISMATCHED,TWO_MISMATCHED,UNKNOWN","A LOCUS MISMATCH LEVEL"
"CAT","ANCEF",2,"N,Y,UNKNOWN","DECEASED DONOR-OTHER MEDS B/N BRAIN DEATH W/IN 24 HRS OF PROCUREMENT"
"CAT","ANTIHYPE_DON",2,"N,Y,UNKNOWN","DECEASED DONOR-ANTIHYPERTENSIVES W/IN 24 HRS PRE-CROSS CLAMP"
"NUM","BMI_CALC",11,"14.9959988175822,23.0125802445614,26.0287301248812,26.4250407859022,29.430175565598,61.6730610635017,23","Calculated Recipient BMI"
"CAT","BMIS",2,"NO_MISMATCH,ONE_MISMATCHED,TWO_MISMATCHED,UNKNOWN","B LOCUS MISMATCH LEVEL"
"CAT","BRONCHO_LT_DON",4,"ABNORMAL,N,NORMAL,OTHER,UNKNOWN","DDR LEFT LUNG BRONCHOSCOPY"
"CAT","BRONCHO_RT_DON",1,"ABNORMAL,N,NORMAL,OTHER,UNKNOWN","DDR RIGHT LUNG BRONCHOSCOPY"
"NUM","BUN_DON",5,"0.2,9,13,16.1019156494808,19,245,4435","DECEASED DONOR-TERMINAL BLOOD UREA NITROGEN"
"CAT","CHEST_XRAY_DON",5,"ABNORMAL_BOTH,ABNORMAL_SINGLE,N,NORMAL,UNKNOWN","DDR CHEST XRAY"
"CAT","CLIN_INFECT_DON",2,"N,Y,UNKNOWN","DECEASED DONOR-CLINICAL INFECTION (Y,N)"
"CAT","CMV_DON",10,"NEGATIVE,OTHER,POSITIVE,UNKNOWN","DONOR SEROLOGY ANTI CMV (FOR LIVING DONOR, PRE UNET DATA ONLY)"
"CAT","COD_CAD_DON",11,"ANOXIA,CEREBROVASCULAR_STROKE,HEAD_TRAUMA,OTHER,UNKNOWN","DECEASED DONOR-CAUSE OF DEATH"
"CAT","CONTIN_CIG_DON",4,"N,Y,UNKNOWN","DECEASED DONOR-HISTORY OF CIGARETTES IN PAST@ >20PACK YRS+RECENT 6MO USE"
"CAT","CONTIN_OTH_DRUG_DON",2,"N,Y,UNKNOWN","DECEASED DONOR-HISTORY OF OTHER DRUGS IN PAST+RECENT 6MO USE"
"CAT","CORONARY_ANGIO",3,"N,Y_ABNORMAL,Y_NORMAL,UNKNOWN","DECEASED DONOR CORONARY ANGIOGRAM: Y/N IF YES NORMAL: Y/N IF ABNORMAL # VESSELS WITH > 50% STENOSIS"
"NUM","CREAT_TRR",11,"0.1,1,1.2,1.38176809267118,1.5,50,4752","RECIPIENT SERUM CREATININE AT TIME OF TX"
